fecha;abrir;max;min;cierre;cierre_ajus;
21-09-2023;1,7888;1,7888;1,7888;1,7888;1,7888;
20-09-2023;1,8126;1,8126;1,8126;1,8126;1,8126;
19-09-2023;1,8241;1,8241;1,8241;1,8241;1,8241;
18-09-2023;1,8262;1,8262;1,8262;1,8262;1,8262;
15-09-2023;1,8560;1,8560;1,8560;1,8560;1,8560;
14-09-2023;1,8493;1,8493;1,8493;1,8493;1,8493;
13-09-2023;1,8530;1,8530;1,8530;1,8530;1,8530;
12-09-2023;1,8898;1,8898;1,8898;1,8898;1,8898;
11-09-2023;1,8978;1,8978;1,8978;1,8978;1,8978;
08-09-2023;1,9017;1,9017;1,9017;1,9017;1,9017;
07-09-2023;1,9055;1,9055;1,9055;1,9055;1,9055;
06-09-2023;1,9037;1,9037;1,9037;1,9037;1,9037;
05-09-2023;1,8728;1,8728;1,8728;1,8728;1,8728;
04-09-2023;1,8647;1,8647;1,8647;1,8647;1,8647;
01-09-2023;1,8660;1,8660;1,8660;1,8660;1,8660;
31-08-2023;1,8335;1,8335;1,8335;1,8335;1,8335;
30-08-2023;1,8298;1,8298;1,8298;1,8298;1,8298;
29-08-2023;1,7902;1,7902;1,7902;1,7902;1,7902;
28-08-2023;1,7748;1,7748;1,7748;1,7748;1,7748;
25-08-2023;1,7662;1,7662;1,7662;1,7662;1,7662;
24-08-2023;1,7992;1,7992;1,7992;1,7992;1,7992;
23-08-2023;1,7851;1,7851;1,7851;1,7851;1,7851;
22-08-2023;1,7995;1,7995;1,7995;1,7995;1,7995;
21-08-2023;1,7714;1,7714;1,7714;1,7714;1,7714;
18-08-2023;1,7832;1,7832;1,7832;1,7832;1,7832;
17-08-2023;1,8063;1,8063;1,8063;1,8063;1,8063;
16-08-2023;1,8278;1,8278;1,8278;1,8278;1,8278;
15-08-2023;1,8386;1,8386;1,8386;1,8386;1,8386;
14-08-2023;1,8143;1,8143;1,8143;1,8143;1,8143;
11-08-2023;1,8334;1,8334;1,8334;1,8334;1,8334;
10-08-2023;1,8267;1,8267;1,8267;1,8267;1,8267;
09-08-2023;1,8551;1,8551;1,8551;1,8551;1,8551;
08-08-2023;1,8613;1,8613;1,8613;1,8613;1,8613;
07-08-2023;1,8409;1,8409;1,8409;1,8409;1,8409;
